IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta
21,2024-05-10,2,2,Tablet,2,191.07999999999998,382.16
22,2024-05-10,2,3,Camara,2,1286.67,2573.34
23,2024-05-10,4,7,Microondas,3,1258.46,3775.38
24,2024-05-10,3,1,Impresora,4,1136.52,4546.08
25,2024-05-10,1,4,Televisor,4,820.24,3280.96
26,2024-05-10,2,7,Consola,3,1346.58,4039.74
27,2024-05-10,3,2,Refrigerador,2,1565.8200000000002,3131.64
28,2024-05-10,2,7,Laptop,3,1845.8799999999999,5537.64
29,2024-05-10,4,7,Lavadora,3,1657.42,4972.26
30,2024-05-10,1,2,Telefono,2,878.61,1757.22
