IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta
11,2024-05-10,2,2,Tablet,2,241.48,482.96
12,2024-05-10,2,3,Cámara,2,1236.02,2472.16
13,2024-05-10,4,7,Microondas,3,1419.44,4258.32
14,2024-05-10,3,1,Impresora,4,1171.0,4684.0
15,2024-05-10,1,4,Televisor,4,812.11,3248.44
16,2024-05-10,2,7,Consola,3,1293.02,3879.06
17,2024-05-10,3,2,Refrigerador,2,1492.27,2984.54
18,2024-05-10,2,7,Laptop,3,1733.78,5201.34
19,2024-05-10,4,7,Lavadora,3,1676.24,5028.72
20,2024-05-10,1,2,Teléfono,2,720.11,1440.22
